Zip Code,City/Community Area,Courthouse
90069,WEST HOLLYWOOD,Chatsworth Courthouse
90070,LOS ANGELES,Chatsworth Courthouse
90071,LOS ANGELES,Norwalk Courthouse
90072,LOS ANGELES,Norwalk Courthouse
90073,VETERANS ADMIN,Chatsworth Courthouse
90074,LOS ANGELES,Norwalk Courthouse
90075,LOS ANGELES,Norwalk Courthouse
90076,LOS ANGELES,Norwalk Courthouse
90077,BEL AIR ESTATES,Chatsworth Courthouse
90077,BEVERLY GLEN,Chatsworth Courthouse
90077,LOS ANGELES,Chatsworth Courthouse
90078,LOS ANGELES,Chatsworth Courthouse
90079,LOS ANGELES,Chatsworth Courthouse
90080,LOS ANGELES,Chatsworth Courthouse
90081,LOS ANGELES,Chatsworth Courthouse
90082,LOS ANGELES,Norwalk Courthouse
90083,LOS ANGELES,Chatsworth Courthouse
90084,LOS ANGELES,Chatsworth Courthouse
90086,LOS ANGELES,Norwalk Courthouse
90087,LOS ANGELES,Norwalk Courthouse
90088,LOS ANGELES,Norwalk Courthouse
90089,USC,Norwalk Courthouse
90091,CITY OF COMMERCE,Norwalk Courthouse
90093,LOS ANGELES,Norwalk Courthouse
90094,LOS ANGELES,Chatsworth Courthouse
90094,PLAYA VISTA,Chatsworth Courthouse
90095,UCLA,Chatsworth Courthouse
90096,BELL,Norwalk Courthouse
90097,FLORENCE,Norwalk Courthouse
90099,LOS ANGELES,Norwalk Courthouse
90101,FLORENCE,Norwalk Courthouse
90102,LOS ANGELES,Norwalk Courthouse
90103,BELL GARDENS,Norwalk Courthouse
90174,FLORENCE,Chatsworth Courthouse
90185,FLORENCE,Chatsworth Courthouse
90189,LOS ANGELES,Chatsworth Courthouse
90201,BELL,Norwalk Courthouse
90201,BELL GARDENS,Norwalk Courthouse
90201,CUDAHY,Norwalk Courthouse
90202,BELL,Norwalk Courthouse
90202,BELL GARDENS,Norwalk Courthouse
90209,BEVERLY HILLS,Chatsworth Courthouse
90210,BEVERLY HILLS,Chatsworth Courthouse
90210,LOS ANGELES,Chatsworth Courthouse
90210,TROUSDALE ESTATES,Chatsworth Courthouse
90211,BEVERLY HILLS,Chatsworth Courthouse
90212,BEVERLY HILLS,Chatsworth Courthouse
90213,BEVERLY HILLS,Chatsworth Courthouse
90220,COMPTON,Norwalk Courthouse
90220,RANCHO DOMINGUEZ,Norwalk Courthouse
90221,COMPTON,Norwalk Courthouse
90221,EAST RANCHO DOMINGUEZ,Norwalk Courthouse
90221,RANCHO DOMINGUEZ,Norwalk Courthouse
90221,UNINCORPORATED EAST OF COMPTON,Norwalk Courthouse
90222,WILLOWBROOK,Norwalk Courthouse
90223,COMPTON,Norwalk Courthouse
90224,COMPTON,Norwalk Courthouse
90230,BALDWIN HILLS,Chatsworth Courthouse
90230,CULVER CITY,Chatsworth Courthouse
90230,FOX HILLS,Chatsworth Courthouse
90230,LOS ANGELES,Chatsworth Courthouse
90231,CULVER CITY,Chatsworth Courthouse
90232,CULVER CITY,Chatsworth Courthouse
90232,LOS ANGELES,Chatsworth Courthouse
90233,CULVER CITY,Chatsworth Courthouse
90239,DOWNEY,Norwalk Courthouse
90240,DOWNEY,Norwalk Courthouse
90241,DOWNEY,Norwalk Courthouse
90242,DOWNEY,Norwalk Courthouse
90245,EL SEGUNDO,Norwalk Courthouse
90245,LOS ANGELES,Norwalk Courthouse
90247,GARDENA,Norwalk Courthouse
90247,LOS ANGELES,Norwalk Courthouse
90247,MONETA,Norwalk Courthouse
90248,CARSON,Norwalk Courthouse
90248,GARDENA,Norwalk Courthouse
90248,LOS ANGELES,Norwalk Courthouse
90248,ROSEWOOD,Norwalk Courthouse
90249,ALONDRA PARK,Norwalk Courthouse
90249,EL CAMINO VILLAGE,Norwalk Courthouse
90249,GARDENA,Norwalk Courthouse
90250,DEL AIRE,Norwalk Courthouse
90250,HAWTHORNE,Norwalk Courthouse
90251,HAWTHORNE,Norwalk Courthouse
90254,HERMOSA BEACH,Norwalk Courthouse
90255,HUNTINGTON PARK,Norwalk Courthouse
90255,WALNUT PARK,Norwalk Courthouse
90260,EL CAMINO VILLAGE,Norwalk Courthouse
90260,LAWNDALE,Norwalk Courthouse
90261,LAWNDALE,Norwalk Courthouse
90262,LYNWOOD,Norwalk Courthouse
90263,PEPPERDINE UNIVERSITY,Chatsworth Courthouse
90264,MALIBU,Chatsworth Courthouse
90265,MALIBU (All Communities/Park),Chatsworth Courthouse
90266,EL PORTO,Norwalk Courthouse
90266,MANHATTAN BEACH,Norwalk Courthouse
90267,MANHATTAN BEACH,Norwalk Courthouse
90270,MAYWOOD,Norwalk Courthouse
90272,PACIFIC PALISADES,Chatsworth Courthouse
90274,PALOS VERDES ESTATES,Norwalk Courthouse
90274,ROLLING HILLS,Norwalk Courthouse
90275,RANCHO PALOS VERDES,Norwalk Courthouse
90277,REDONDO BEACH,Norwalk Courthouse
90277,TORRANCE,Norwalk Courthouse
90278,REDONDO BEACH,Norwalk Courthouse
90280,SOUTH GATE,Norwalk Courthouse
90290,TOPANGA,Chatsworth Courthouse
90291,VENICE,Chatsworth Courthouse
90292,MARINA DEL REY,Chatsworth Courthouse
90293,PLAYA DEL REY,Chatsworth Courthouse
90301,INGLEWOOD,Norwalk Courthouse
90401,SANTA MONICA,Chatsworth Courthouse
90501,TORRANCE,Norwalk Courthouse
90601,WHITTIER,Norwalk Courthouse
90631,LA HABRA HEIGHTS,Norwalk Courthouse
90640,MONTEBELLO,Norwalk Courthouse
90650,NORWALK,Norwalk Courthouse
90701,CERRITOS,Norwalk Courthouse
90704,AVALON,Catalina Courthouse
90706,BELLFLOWER,Norwalk Courthouse
90712,LAKEWOOD,Norwalk Courthouse
90723,PARAMOUNT,Norwalk Courthouse
90731,SAN PEDRO,Norwalk Courthouse
90744,WILMINGTON,Norwalk Courthouse
90745,CARSON,Norwalk Courthouse
90801,LONG BEACH,Norwalk Courthouse
91001,ALTADENA,Chatsworth Courthouse
91006,ARCADIA,Chatsworth Courthouse
91011,LA CANADA FLINTRIDGE,Chatsworth Courthouse
91101,PASADENA,Chatsworth Courthouse
91201,GLENDALE,Chatsworth Courthouse
91301,AGOURA HILLS,Chatsworth Courthouse
91303,CANOGA PARK,Chatsworth Courthouse
91311,CHATSWORTH,Chatsworth Courthouse
91321,SANTA CLARITA,Chatsworth Courthouse
91324,NORTHRIDGE,Chatsworth Courthouse
91326,PORTER RANCH,Chatsworth Courthouse
91331,PACOIMA,Chatsworth Courthouse
91335,RESEDA,Chatsworth Courthouse
91340,SAN FERNANDO,Chatsworth Courthouse
91342,SYLMAR,Chatsworth Courthouse
91344,GRANADA HILLS,Chatsworth Courthouse
91352,SUN VALLEY,Chatsworth Courthouse
91354,VALENCIA,Chatsworth Courthouse
91356,TARZANA,Chatsworth Courthouse
91364,WOODLAND HILLS,Chatsworth Courthouse
91401,VAN NUYS,Chatsworth Courthouse
91402,PANORAMA CITY,Chatsworth Courthouse
91403,SHERMAN OAKS,Chatsworth Courthouse
91416,ENCINO,Chatsworth Courthouse
91501,BURBANK,Chatsworth Courthouse
91601,NORTH HOLLYWOOD,Chatsworth Courthouse
91604,STUDIO CITY,Chatsworth Courthouse
91702,AZUSA,Norwalk Courthouse
91706,BALDWIN PARK,Norwalk Courthouse
91711,CLAREMONT,Norwalk Courthouse
91722,COVINA,Norwalk Courthouse
91731,EL MONTE,Norwalk Courthouse
91740,GLENDORA,Norwalk Courthouse
91744,LA PUENTE,Norwalk Courthouse
91748,ROWLAND HEIGHTS,Norwalk Courthouse
91750,LA VERNE,Norwalk Courthouse
91754,MONTEREY PARK,Chatsworth Courthouse
91765,DIAMOND BAR,Norwalk Courthouse
91766,POMONA,Norwalk Courthouse
91770,EL MONTE,Norwalk Courthouse
91770,ROSEMEAD,Norwalk Courthouse
91770,SOUTH SAN GABRIEL,Chatsworth Courthouse
91773,SAN DIMAS,Norwalk Courthouse
91775,SAN GABRIEL,Chatsworth Courthouse
91780,TEMPLE CITY,Chatsworth Courthouse
91788,WALNUT,Norwalk Courthouse
91790,WEST COVINA,Norwalk Courthouse
91801,ALHAMBRA,Chatsworth Courthouse
93243,GORMAN,Chatsworth Courthouse
93510,ACTON,Chatsworth Courthouse
93534,LANCASTER,Chatsworth Courthouse
93550,PALMDALE,Chatsworth Courthouses
